0.5001348,0,0.8488337,0.01057982,5.980715,-0.2513066,8.370031,-3.169696,f,37,21
1.000304,0,1.003566,0.04298806,-0.1978873,-0.739093,11.96579,-4.150398,f,37,21
1.501225,0,0.9198945,-0.09670322,-0.3290647,-1.242045,14.73349,-4.058296,f,37,21
2.015077,0,1.270578,0.929001,-0.9047013,-1.724207,14.24168,-3.815499,f,37,21
2.527796,0,1.642121,-0.04127629,-0.9584436,-2.249471,13.81314,-3.593882,f,37,21
3.028607,0,0.607968,-0.3767766,-0.6461149,-2.623357,11.11263,-3.320227,f,37,21
3.529286,0,0.1561643,-0.1486394,-0.152588,-2.876075,7.066089,-3.093411,f,37,21
4.034357,0,0.06198889,-0.2247844,-0.004768376,-3.017129,2.698668,-2.97154,f,37,21
4.545196,0,0.04887586,-0.1331421,-0.1549722,-3.026123,-1.605503,-2.951649,f,37,21
5.058925,0,-0.4744534,-0.1680109,0.5531436,-2.925986,-6.067957,-3.060014,f,37,21
5.57277,0,-0.5126004,-0.06079686,0.6008154,-2.691156,-10.43044,-3.276799,f,37,21
6.086539,0,-0.5054479,0.07025911,0.6103522,-2.312165,-13.40671,-3.541581,f,37,21
6.587372,0,-0.9107599,0.1046809,0.4005436,-1.835576,-15.54374,-3.790155,f,37,21
7.100984,0,-0.925065,-0.07927435,0.5435949,-1.325578,-14.53989,-4.034344,f,37,21
7.601401,0,-0.8153923,0.06936504,0.1764299,-0.8032599,-11.90324,-4.120673,f,37,21
8.103666,0,-1.083967,-0.192706,0.04756455,-0.3830484,-11.3608,-4.226748,f,37,21
8.615069,0,-1.032401,-0.4494029,0.1335622,-0.01456225,-5.944746,7.754161,f,37,21
9.127968,0,-0.2760443,-0.1984484,-0.1000882,-0.459915,-6.434195,7.916758,f,37,21
9.642206,0,-0.2467143,-0.08115332,-0.03824238,-0.9520783,-8.050905,7.907614,f,37,21
10.14238,0,-0.6526625,0.100856,-0.09557018,-1.51788,-8.233198,7.841681,f,37,21
10.64304,0,-0.4459504,-0.000613998,-0.2101662,-2.107714,-8.963513,7.701196,f,37,21
11.15664,0,-0.6278163,0.04303567,-0.3248098,-2.628717,-8.384051,7.415883,f,37,21
11.65691,0,-0.3565792,-0.04032738,0.01829864,-3.097232,-5.773047,7.24222,f,37,21
12.17013,0,-0.1842918,0.0884626,-0.1707436,-3.32109,-2.149831,7.026918,f,37,21
12.68664,0,0.2200427,0.05428759,0.2375009,-3.323301,2.161938,7.026979,f,37,21
13.19902,0,0.5755847,0.01636917,0.2376559,-3.096825,5.823905,7.242701,f,37,21
13.71101,0,0.4919534,0.06461105,0.02913478,-2.638799,8.172146,7.413487,f,37,21
14.22518,0,0.6078666,0.01927225,0.1236798,-2.070476,9.11276,7.711409,f,37,21
14.72521,0,0.5597031,-0.02300504,0.1333715,-1.509012,8.295259,7.84282,f,37,21
15.22567,0,0.6998337,-0.1201578,0.02856257,-0.9655083,7.970978,7.901814,f,37,21
15.72637,0,0.3606845,-0.1278256,-0.0190735,-0.4801781,6.395137,7.911407,f,37,21
16.22783,0,0.3863202,0.01274267,0.009513137,0.008097726,5.939607,7.893572,f,37,21
16.73951,0,-0.6233325,0.003668338,-0.06666349,0.2977076,-9.707841,-3.963491,f,37,21
17.23952,0,-0.8314041,-0.05445464,-0.1141219,0.677929,-12.24374,-4.002002,f,37,21
17.7526,0,-0.7915137,0.0341221,-0.3242418,1.115447,-13.40219,-3.871304,f,37,21
18.25283,0,-0.9321715,-0.01173414,-0.2860957,1.547005,-11.85833,-3.729511,f,37,21
18.76703,0,-0.5745637,0.1296342,-0.2479496,1.830818,-8.248143,-3.433584,f,37,21
19.28088,0,-0.1414811,0.05653237,-0.002682276,1.9222,-1.718118,-3.21291,f,37,21
19.79576,0,0.2634769,0.01283583,0.1691502,1.871547,5.115792,-3.245309,f,37,21
20.30771,0,0.7328275,0.0301207,0.3070311,1.693579,10.72417,-3.510391,f,37,21
20.81051,0,0.947338,-0.01354656,0.2871346,1.344466,12.95004,-3.817239,f,37,21
21.32227,0,0.851564,0.03631993,0.1907305,0.864279,12.37286,-3.963654,f,37,21
21.83595,0,0.8690531,0.05967641,0.1716574,0.4650468,10.08741,-3.920121,f,37,21
22.3363,0,0.5870417,0.02201546,0.0762922,0.1491011,9.297967,-3.955844,f,37,21
22.83707,0,-0.5835958,-0.02048825,-0.1525844,0.6337216,-7.8809,-23.52216,f,37,21
23.34927,0,-0.7282984,0.1305282,-0.09536525,2.35065,-8.540791,-23.32408,f,37,21
23.84932,0,-0.6819956,0.1098909,-0.09536525,4.275031,-10.58266,-23.13555,f,37,21
24.35213,0,-0.6803595,0.02503282,-0.1907305,6.267515,-10.91426,-22.32953,f,37,21
24.86415,0,-0.7506437,0.1104218,-0.2112202,8.591153,-10.67531,-21.78271,f,37,21
25.37714,0,-0.4919353,0.05799527,-0.2690859,10.46064,-8.859962,-20.96953,f,37,21
25.87727,0,-0.2777705,0.08095517,-0.1933027,11.75149,-5.23497,-20.24604,f,37,21
26.37762,0,-0.150577,-0.1851888,0.01628439,12.30935,-0.6603974,-19.93211,f,37,21
26.8904,0,0.1407301,0.05207936,0.2886844,12.0654,4.331788,-20.23681,f,37,21
27.39114,0,0.5605658,-0.04016167,0.2690978,11.01147,7.956787,-20.94448,f,37,21
27.89295,0,0.8190001,0.1333538,0.287528,9.259051,10.07481,-21.73688,f,37,21
28.40404,1,0.8916472,0.1040053,0.3051569,7.021009,11.61139,-22.36673,f,37,21
28.90482,1,0.7843613,-0.03173802,0.1907305,4.956635,10.3156,-23.12901,f,37,21
29.41857,1,0.5864829,0.01341046,0,2.894049,8.381519,-23.29197,f,37,21
29.9195,1,0.7056865,0.2026465,0.2288647,1.207819,7.863401,-23.53991,f,37,21
30.41951,1,0.8368107,-0.1443112,0,-0.8347825,13.27492,-19.32625,f,37,21
30.93202,2,0.9989271,0.07532188,-0.1144383,-3.344605,14.89929,-19.30938,f,37,21
31.43232,2,1.394687,-0.1354454,-0.362376,-5.885674,18.76782,-18.31392,f,37,21
31.94651,3,1.258005,0.03553736,-0.4981284,-9.076509,18.71893,-17.31424,f,37,21
32.46012,3,0.9798541,-0.001341074,-0.7247521,-11.78106,18.02106,-15.5184,f,37,21
32.96023,3,0.7128433,0.02320756,-0.6866059,-13.78977,14.54459,-13.61394,f,37,21
33.47398,3,0.4023221,-0.01311235,-0.4768143,-15.3182,10.5311,-12.13124,f,37,21
33.98712,3,0.3883035,0.01341041,-0.3051688,-16.08765,6.30242,-10.8465,f,37,21
34.50113,3,0.1451578,0.03963525,-0.3242299,-16.60347,2.45129,-10.26542,f,37,21
35.00136,3,-0.1198026,0.00096853,0.0381461,-16.62138,-1.08474,-10.14928,f,37,21
35.51604,3,-0.1251669,-0.005513187,0.2860957,-16.3647,-4.841987,-10.58621,f,37,21
36.03099,3,-0.4434365,-0.1582431,0.4195952,-15.70498,-8.722195,-11.60641,f,37,21
36.54326,3,-0.6186701,0.001676296,0.6484718,-14.32401,-13.00463,-12.99117,f,37,21
37.04433,3,-0.9178667,-0.117006,0.7247521,-12.66925,-16.85066,-14.94951,f,37,21
37.55777,3,-1.056146,-0.1265423,0.5721796,-9.969501,-17.90235,-16.41352,f,37,21
38.07049,3,-1.147479,0.01672423,0.4932284,-7.176361,-18.97369,-18.20029,f,37,21
38.58484,3,-1.128755,-0.001172248,0.191774,-4.185634,-15.46106,-18.95069,f,37,21
